record_number,buggy_code,fixed_code,code_similarity
172001,"private void remoteStateReplaceLocalState(GossipMember member,HeartbeatState remoteState){
  getEndpointMembers().put(member,remoteState);
  up(member);
}","private void remoteStateReplaceLocalState(GossipMember member,HeartbeatState remoteState){
  up(member);
  if (endpointMembers.containsKey(member)) {
    HeartbeatState state=endpointMembers.get(member);
    endpointMembers.remove(member);
    endpointMembers.put(member,state);
  }
}",0.4977168949771689
172002,"@Override public void run(){
  long newversion=endpointMembers.get(getSelf()).updateVersion();
  if (isDiscoverable(getSelf())) {
    up(getSelf());
  }
  if (LOGGER.isTraceEnabled()) {
    LOGGER.trace(""String_Node_Str"");
    LOGGER.trace(String.format(""String_Node_Str"",newversion));
  }
  List<GossipDigest> digests=new ArrayList<>();
  try {
    randomGossipDigest(digests);
    if (digests.size() > 0) {
      Buffer syncMessageBuffer=encodeSyncMessage(digests);
      boolean b=gossip2LiveMember(syncMessageBuffer);
      gossip2UndiscoverableMember(syncMessageBuffer);
      if (!b || liveMembers.size() < settings.getSeedMembers().size()) {
        gossip2Seed(syncMessageBuffer);
      }
      checkStatus();
      if (LOGGER.isTraceEnabled()) {
        LOGGER.trace(""String_Node_Str"" + getLiveMembers());
        LOGGER.trace(""String_Node_Str"" + getDeadMembers());
        LOGGER.trace(""String_Node_Str"" + getEndpointMembers());
        LOGGER.trace(""String_Node_Str"" + convictedTime());
      }
      LOGGER.info(""String_Node_Str"" + getLiveMembers());
      LOGGER.info(""String_Node_Str"" + getDeadMembers());
      LOGGER.info(""String_Node_Str"" + getEndpointMembers());
      LOGGER.info(""String_Node_Str"" + convictedTime());
    }
  }
 catch (  UnknownHostException e) {
    LOGGER.error(e.getMessage());
  }
}","@Override public void run(){
  long newversion=endpointMembers.get(getSelf()).updateVersion();
  if (isDiscoverable(getSelf())) {
    up(getSelf());
  }
  if (LOGGER.isTraceEnabled()) {
    LOGGER.trace(""String_Node_Str"");
    LOGGER.trace(String.format(""String_Node_Str"",newversion));
  }
  List<GossipDigest> digests=new ArrayList<>();
  try {
    randomGossipDigest(digests);
    if (digests.size() > 0) {
      Buffer syncMessageBuffer=encodeSyncMessage(digests);
      boolean b=gossip2LiveMember(syncMessageBuffer);
      gossip2UndiscoverableMember(syncMessageBuffer);
      if (!b || liveMembers.size() < settings.getSeedMembers().size()) {
        gossip2Seed(syncMessageBuffer);
      }
      checkStatus();
    }
    if (LOGGER.isTraceEnabled()) {
      LOGGER.trace(""String_Node_Str"" + getLiveMembers());
      LOGGER.trace(""String_Node_Str"" + getDeadMembers());
      LOGGER.trace(""String_Node_Str"" + getEndpointMembers());
    }
  }
 catch (  UnknownHostException e) {
    LOGGER.error(e.getMessage());
  }
}",0.8131399317406144
172003,"public void down(GossipMember member){
  LOGGER.info(""String_Node_Str"");
  rwlock.writeLock().lock();
  try {
    member.setState(GossipState.DOWN);
    liveMembers.remove(member);
    if (!deadMembers.contains(member)) {
      deadMembers.add(member);
    }
    clearExecutor.schedule(() -> {
      clearMember(member);
    }
,getSettings().getDeleteThreshold() * getSettings().getGossipInterval(),TimeUnit.MILLISECONDS);
    fireGossipEvent(member,GossipState.DOWN);
  }
  finally {
    rwlock.writeLock().unlock();
  }
}","public void down(GossipMember member){
  LOGGER.info(""String_Node_Str"");
  rwlock.writeLock().lock();
  try {
    member.setState(GossipState.DOWN);
    liveMembers.remove(member);
    if (!deadMembers.contains(member)) {
      deadMembers.add(member);
    }
    fireGossipEvent(member,GossipState.DOWN);
  }
  finally {
    rwlock.writeLock().unlock();
  }
}",0.8140589569160998
172004,"private void up(GossipMember member){
  rwlock.writeLock().lock();
  try {
    member.setState(GossipState.UP);
    if (!liveMembers.contains(member)) {
      liveMembers.add(member);
    }
    if (candidateMembers.containsKey(member)) {
      candidateMembers.remove(member);
    }
    if (deadMembers.contains(member)) {
      deadMembers.remove(member);
    }
    if (!member.equals(getSelf())) {
      LOGGER.info(""String_Node_Str"");
      fireGossipEvent(member,GossipState.UP);
    }
  }
  finally {
    rwlock.writeLock().unlock();
  }
}","private void up(GossipMember member){
  rwlock.writeLock().lock();
  try {
    member.setState(GossipState.UP);
    if (!liveMembers.contains(member)) {
      liveMembers.add(member);
    }
    if (candidateMembers.containsKey(member)) {
      candidateMembers.remove(member);
    }
    if (deadMembers.contains(member)) {
      deadMembers.remove(member);
      LOGGER.info(""String_Node_Str"");
    }
    if (!member.equals(getSelf())) {
      fireGossipEvent(member,GossipState.UP);
    }
  }
  finally {
    rwlock.writeLock().unlock();
  }
}",0.9209558823529412
172005,"private boolean sendGossip2Seed(Buffer buffer,List<SeedMember> members,int index){
  if (buffer != null && index >= 0) {
    SeedMember target=members.get(index);
    settings.getMsgService().sendMsg(target.getIpAddress(),target.getPort(),buffer);
    return settings.getSeedMembers().contains(target);
  }
  return false;
}","private boolean sendGossip2Seed(Buffer buffer,List<SeedMember> members,int index){
  if (buffer != null && index >= 0) {
    SeedMember target=members.get(index);
    settings.getMsgService().sendMsg(target.getIpAddress(),target.getPort(),buffer);
    return true;
  }
  return false;
}",0.9245901639344264
172006,"public void down(GossipMember member){
  LOGGER.info(""String_Node_Str"");
  rwlock.writeLock().lock();
  try {
    member.setState(GossipState.DOWN);
    liveMembers.remove(member);
    if (!deadMembers.contains(member)) {
      deadMembers.add(member);
    }
    fireGossipEvent(member,GossipState.DOWN);
  }
  finally {
    rwlock.writeLock().unlock();
  }
}","public void down(GossipMember member){
  LOGGER.info(""String_Node_Str"");
  rwlock.writeLock().lock();
  try {
    member.setState(GossipState.DOWN);
    liveMembers.remove(member);
    if (!deadMembers.contains(member)) {
      deadMembers.add(member);
    }
    clearExecutor.schedule(() -> {
      if (deadMembers.contains(member)) {
        deadMembers.remove(member);
      }
    }
,getSettings().getDeleteThreshold() * getSettings().getGossipInterval(),TimeUnit.MILLISECONDS);
    fireGossipEvent(member,GossipState.DOWN);
  }
  finally {
    rwlock.writeLock().unlock();
  }
}",0.7630180658873539
172007,"protected void start(){
  LOGGER.info(String.format(""String_Node_Str"",localGossipMember.getCluster(),localGossipMember.getIpAddress(),localGossipMember.getPort(),localGossipMember.getId()));
  isWorking=true;
  settings.getMsgService().listen(getSelf().getIpAddress(),getSelf().getPort());
  doGossipExecotor.scheduleAtFixedRate(new GossipTask(),settings.getGossipInterval(),settings.getGossipInterval(),TimeUnit.MILLISECONDS);
}","protected void start(){
  LOGGER.info(String.format(""String_Node_Str"",localGossipMember.getCluster(),localGossipMember.getIpAddress(),localGossipMember.getPort(),localGossipMember.getId()));
  isWorking=true;
  settings.getMsgService().listen(getSelf().getIpAddress(),getSelf().getPort());
  doGossipExecutor.scheduleAtFixedRate(new GossipTask(),settings.getGossipInterval(),settings.getGossipInterval(),TimeUnit.MILLISECONDS);
}",0.9976689976689976
172008,"protected void shutdown(){
  getSettings().getMsgService().unListen();
  doGossipExecotor.shutdown();
  try {
    Thread.sleep(getSettings().getGossipInterval());
  }
 catch (  InterruptedException e) {
    throw new RuntimeException(e);
  }
  Buffer buffer=encodeShutdownMessage();
  for (int i=0; i < getLiveMembers().size(); i++) {
    sendGossip(buffer,getLiveMembers(),i);
  }
  isWorking=false;
}","protected void shutdown(){
  getSettings().getMsgService().unListen();
  doGossipExecutor.shutdown();
  try {
    Thread.sleep(getSettings().getGossipInterval());
  }
 catch (  InterruptedException e) {
    throw new RuntimeException(e);
  }
  Buffer buffer=encodeShutdownMessage();
  for (int i=0; i < getLiveMembers().size(); i++) {
    sendGossip(buffer,getLiveMembers(),i);
  }
  isWorking=false;
}",0.9975124378109452
172009,"public void init(String cluster,String ipAddress,Integer port,String id,List<SeedMember> seedMembers,GossipSettings settings,GossipListener listener){
  this.settings=settings;
  this.settings.setSeedMembers(seedMembers);
  this.cluster=cluster;
  this.localGossipMember=new GossipMember();
  this.localGossipMember.setCluster(cluster);
  this.localGossipMember.setIpAddress(ipAddress);
  this.localGossipMember.setPort(port);
  this.localGossipMember.setId(id);
  this.localGossipMember.setState(GossipState.JOIN);
  this.endpointMembers.put(localGossipMember,new HeartbeatState());
  this.listener=listener;
  fireGossipEvent(localGossipMember,GossipState.JOIN);
}","public void init(String cluster,String ipAddress,Integer port,String id,List<SeedMember> seedMembers,GossipSettings settings,GossipListener listener){
  this.cluster=cluster;
  this.localGossipMember=new GossipMember();
  this.localGossipMember.setCluster(cluster);
  this.localGossipMember.setIpAddress(ipAddress);
  this.localGossipMember.setPort(port);
  this.localGossipMember.setId(id);
  this.localGossipMember.setState(GossipState.JOIN);
  this.endpointMembers.put(localGossipMember,new HeartbeatState());
  this.listener=listener;
  this.settings=settings;
  this.settings.setSeedMembers(seedMembers);
  fireGossipEvent(localGossipMember,GossipState.JOIN);
}",0.8933933933933934
172010,"public ResultSet executeQuery(final BasicSearchParameters searchParameters,String language);","public ResultSet executeQuery(final SearchParameters searchParameters,String language);",0.9720670391061452
