record_number,buggy_code,fixed_code
60001,"public void onSlotChanged(){
  ItemStack item=player.inventory.mainInventory[containerIndex];
  if (valid && (item == null || item.getItem() != containerWrapper.getContainerStack().getItem())) {
    player.inventory.mainInventory[containerIndex]=containerWrapper.getContainerStack();
  }
}","public void onSlotChanged(){
  ItemStack item=player.inventory.mainInventory[containerIndex];
  if (valid && item != null && item.getItem() == containerWrapper.getContainerStack().getItem()) {
    player.inventory.mainInventory[containerIndex]=containerWrapper.getContainerStack();
  }
}"
60002,"@Override public void drawForeground(int mouseX,int mouseY){
  if (enableStencil) {
    glEnable(GL_STENCIL_TEST);
    glClear(GL_STENCIL_BUFFER_BIT);
    drawStencil(posX + 1,posY + 1,posX + sizeX - 1,posY + sizeY - 1,1);
  }
  FontRenderer font=getFontRenderer();
  char[] text=this.text;
  int startX=posX + 1, endX=sizeX - 1, startY=posY + 1, endY=startY + font.FONT_HEIGHT;
  for (int i=renderStart, width=0; i <= textLength; ++i) {
    boolean end=i == textLength;
    int charW=2;
    if (!end) {
      charW=font.getCharWidth(text[i]);
      if (!enableStencil && (width + charW) > endX)       break;
    }
    boolean drawCaret=i == caret && (caretCounter%=24) < 12 && isFocused();
    if (drawCaret) {
      int caretEnd=width + 2;
      if (caretInsert)       caretEnd=width + charW;
      drawModalRect(startX + width,startY - 1,startX + caretEnd,endY,(0xFF000000 & defaultCaretColor) | ~(defaultCaretColor & 0xFFFFFF));
    }
    if (!end) {
      boolean selected=i >= selectionStart & i < selectionEnd;
      if (selected)       drawModalRect(startX + width,startY,startX + width + charW,endY,selectedLineColor);
      font.drawString(String.valueOf(text[i]),startX + width,startY,selected ? selectedTextColor : textColor);
    }
    if (drawCaret) {
      int caretEnd=width + 2;
      if (caretInsert)       caretEnd=width + charW;
      GL11.glEnable(GL11.GL_BLEND);
      GL11.glBlendFunc(GL11.GL_ONE_MINUS_DST_COLOR,GL11.GL_ZERO);
      gui.drawSizedRect(startX + width,startY - 1,startX + caretEnd,endY,-1);
      GL11.glDisable(GL11.GL_BLEND);
    }
    width+=charW;
    if (width > endX)     break;
  }
  if (enableStencil)   glDisable(GL_STENCIL_TEST);
}","@Override public void drawForeground(int mouseX,int mouseY){
  if (enableStencil) {
    glEnable(GL_STENCIL_TEST);
    glClear(GL_STENCIL_BUFFER_BIT);
    drawStencil(posX + 1,posY + 1,posX + sizeX - 1,posY + sizeY - 1,1);
  }
  FontRenderer font=getFontRenderer();
  char[] text=this.text;
  int startX=posX + 1, endX=sizeX - 1, startY=posY + 1, endY=startY + font.FONT_HEIGHT;
  for (int i=renderStart, width=0; i <= textLength; ++i) {
    boolean end=i == textLength;
    int charW=2;
    if (!end) {
      charW=font.getCharWidth(text[i]);
      if (!enableStencil && (width + charW) > endX)       break;
    }
    boolean drawCaret=i == caret && (caretCounter%=24) < 12 && isFocused();
    if (drawCaret) {
      int caretEnd=width + 2;
      if (caretInsert)       caretEnd=width + charW;
      drawModalRect(startX + width,startY - 1,startX + caretEnd,endY,(0xFF000000 & defaultCaretColor) | (~defaultCaretColor & 0xFFFFFF));
    }
    if (!end) {
      boolean selected=i >= selectionStart & i < selectionEnd;
      if (selected)       drawModalRect(startX + width,startY,startX + width + charW,endY,selectedLineColor);
      font.drawString(String.valueOf(text[i]),startX + width,startY,selected ? selectedTextColor : textColor);
    }
    if (drawCaret) {
      int caretEnd=width + 2;
      if (caretInsert)       caretEnd=width + charW;
      GL11.glEnable(GL11.GL_BLEND);
      GL11.glBlendFunc(GL11.GL_ONE_MINUS_DST_COLOR,GL11.GL_ZERO);
      gui.drawSizedRect(startX + width,startY - 1,startX + caretEnd,endY,-1);
      GL11.glDisable(GL11.GL_BLEND);
    }
    width+=charW;
    if (width > endX)     break;
  }
  if (enableStencil)   glDisable(GL_STENCIL_TEST);
}"
60003,"@Override public boolean generate(World world,Random rand,int x,int y,int z){
  int treeHeight=(heightVariance <= 1 ? 0 : rand.nextInt(heightVariance)) + minHeight;
  int worldHeight=world.getHeight();
  Block block;
  if (y + treeHeight + 1 <= worldHeight) {
    int xOffset;
    int yOffset;
    int zOffset;
    if (genSurface != null && !canGenerateInBlock(world,x,y - 1,z,genSurface))     return false;
    if (y < worldHeight - treeHeight - 1) {
      if (treeChecks) {
        for (yOffset=y; yOffset <= y + 1 + treeHeight; ++yOffset) {
          int radius;
          if (yOffset >= y + 1 + treeHeight - 2) {
            radius=2;
          }
 else {
            radius=relaxedGrowth ? 0 : 1;
          }
          if (yOffset >= 0 & yOffset < worldHeight) {
            if (radius == 0) {
              block=world.getBlock(x,yOffset,z);
              if (!(block.isLeaves(world,x,yOffset,z) || block.isAir(world,x,yOffset,z) || block.isReplaceable(world,x,yOffset,z)|| block.canBeReplacedByLeaves(world,x,yOffset,z))) {
                return false;
              }
              if (!waterLoving && yOffset >= y + 1) {
                radius=1;
                for (xOffset=x - radius; xOffset <= x + radius; ++xOffset) {
                  for (zOffset=z - radius; zOffset <= z + radius; ++zOffset) {
                    block=world.getBlock(xOffset,yOffset,zOffset);
                    if (block.getMaterial().isLiquid()) {
                      return false;
                    }
                  }
                }
              }
            }
 else             for (xOffset=x - radius; xOffset <= x + radius; ++xOffset) {
              for (zOffset=z - radius; zOffset <= z + radius; ++zOffset) {
                block=world.getBlock(xOffset,yOffset,zOffset);
                if (!(block.isLeaves(world,xOffset,yOffset,zOffset) || block.isAir(world,xOffset,yOffset,zOffset) || block.canBeReplacedByLeaves(world,xOffset,yOffset,zOffset))) {
                  return false;
                }
              }
            }
          }
 else {
            return false;
          }
        }
        if (genSurface != null && !canGenerateInBlock(world,x,y - 1,z,genSurface))         return false;
        block=world.getBlock(x,y - 1,z);
        block.onPlantGrow(world,x,y - 1,z,x,y,z);
      }
      boolean r=false;
      for (yOffset=y - 3 + treeHeight; yOffset <= y + treeHeight; ++yOffset) {
        int var12=yOffset - (y + treeHeight), center=1 - var12 / 2;
        for (xOffset=x - center; xOffset <= x + center; ++xOffset) {
          int xPos=xOffset - x, t;
          xPos=(xPos + (t=xPos >> 31)) ^ t;
          for (zOffset=z - center; zOffset <= z + center; ++zOffset) {
            int zPos=zOffset - z;
            zPos=(zPos + (t=zPos >> 31)) ^ t;
            block=world.getBlock(xOffset,yOffset,zOffset);
            if (((xPos != center | zPos != center) || rand.nextInt(2) != 0 && var12 != 0) && (!treeChecks || block.isLeaves(world,xOffset,yOffset,zOffset) || block.isAir(world,xOffset,yOffset,zOffset)|| block.canBeReplacedByLeaves(world,xOffset,yOffset,zOffset))) {
              r|=generateBlock(world,xOffset + x,yOffset + y,zOffset + z,genBlock,leaves);
            }
          }
        }
      }
      for (yOffset=0; yOffset < treeHeight; ++yOffset) {
        block=world.getBlock(x,y + yOffset,z);
        if (!treeChecks || block.isAir(world,x,y + yOffset,z) || block.isLeaves(world,x,y + yOffset,z)|| block.isReplaceable(world,x,y + yOffset,z)) {
          r|=generateBlock(world,x,yOffset + y,z,genBlock,trunk);
        }
      }
      return r;
    }
  }
  return false;
}","@Override public boolean generate(World world,Random rand,int x,int y,int z){
  int treeHeight=(heightVariance <= 1 ? 0 : rand.nextInt(heightVariance)) + minHeight;
  int worldHeight=world.getHeight();
  Block block;
  if (y + treeHeight + 1 <= worldHeight) {
    int xOffset;
    int yOffset;
    int zOffset;
    if (genSurface != null && !canGenerateInBlock(world,x,y - 1,z,genSurface))     return false;
    if (y < worldHeight - treeHeight - 1) {
      if (treeChecks) {
        for (yOffset=y; yOffset <= y + 1 + treeHeight; ++yOffset) {
          int radius;
          if (yOffset >= y + 1 + treeHeight - 2) {
            radius=2;
          }
 else {
            radius=relaxedGrowth ? 0 : 1;
          }
          if (yOffset >= 0 & yOffset < worldHeight) {
            if (radius == 0) {
              block=world.getBlock(x,yOffset,z);
              if (!(block.isLeaves(world,x,yOffset,z) || block.isAir(world,x,yOffset,z) || block.isReplaceable(world,x,yOffset,z)|| block.canBeReplacedByLeaves(world,x,yOffset,z))) {
                return false;
              }
              if (!waterLoving && yOffset >= y + 1) {
                radius=1;
                for (xOffset=x - radius; xOffset <= x + radius; ++xOffset) {
                  for (zOffset=z - radius; zOffset <= z + radius; ++zOffset) {
                    block=world.getBlock(xOffset,yOffset,zOffset);
                    if (block.getMaterial().isLiquid()) {
                      return false;
                    }
                  }
                }
              }
            }
 else             for (xOffset=x - radius; xOffset <= x + radius; ++xOffset) {
              for (zOffset=z - radius; zOffset <= z + radius; ++zOffset) {
                block=world.getBlock(xOffset,yOffset,zOffset);
                if (!(block.isLeaves(world,xOffset,yOffset,zOffset) || block.isAir(world,xOffset,yOffset,zOffset) || block.canBeReplacedByLeaves(world,xOffset,yOffset,zOffset))) {
                  return false;
                }
              }
            }
          }
 else {
            return false;
          }
        }
        if (genSurface != null && !canGenerateInBlock(world,x,y - 1,z,genSurface))         return false;
        block=world.getBlock(x,y - 1,z);
        block.onPlantGrow(world,x,y - 1,z,x,y,z);
      }
      boolean r=false;
      for (yOffset=y - 3 + treeHeight; yOffset <= y + treeHeight; ++yOffset) {
        int var12=yOffset - (y + treeHeight), center=1 - var12 / 2;
        for (xOffset=x - center; xOffset <= x + center; ++xOffset) {
          int xPos=xOffset - x, t;
          xPos=(xPos + (t=xPos >> 31)) ^ t;
          for (zOffset=z - center; zOffset <= z + center; ++zOffset) {
            int zPos=zOffset - z;
            zPos=(zPos + (t=zPos >> 31)) ^ t;
            block=world.getBlock(xOffset,yOffset,zOffset);
            if (((xPos != center | zPos != center) || rand.nextInt(2) != 0 && var12 != 0) && (!treeChecks || block.isLeaves(world,xOffset,yOffset,zOffset) || block.isAir(world,xOffset,yOffset,zOffset)|| block.canBeReplacedByLeaves(world,xOffset,yOffset,zOffset))) {
              r|=generateBlock(world,xOffset,yOffset,zOffset,genBlock,leaves);
            }
          }
        }
      }
      for (yOffset=0; yOffset < treeHeight; ++yOffset) {
        block=world.getBlock(x,y + yOffset,z);
        if (!treeChecks || block.isAir(world,x,y + yOffset,z) || block.isLeaves(world,x,y + yOffset,z)|| block.isReplaceable(world,x,y + yOffset,z)) {
          r|=generateBlock(world,x,yOffset + y,z,genBlock,trunk);
        }
      }
      return r;
    }
  }
  return false;
}"
60004,"protected Entry index(int index){
  Entry x;
  if (index < (size >> 1)) {
    x=head;
    for (int i=index; i-- > 0; )     x=x.next;
  }
 else {
    x=tail;
    for (int i=size; i-- > index; )     x=x.prev;
  }
  return x;
}","protected Entry index(int index){
  Entry x;
  if (index < (size >> 1)) {
    x=head;
    for (int i=index; i-- > 0; )     x=x.next;
  }
 else {
    x=tail;
    for (int i=size - 1; i-- > index; )     x=x.prev;
  }
  return x;
}"
60005,"@Override public boolean generate(World world,Random rand,int x,int y,int z){
  final int veinSize=genVeinSize;
  final int branchSize=1 + (veinSize / 30);
  final int subBranchSize=1 + (branchSize / 5);
  boolean r=false;
  for (int blocksVein=0; blocksVein <= veinSize; ) {
    int posX=x;
    int posY=y;
    int posZ=z;
    int directionChange=rand.nextInt(6);
    int directionX=rand.nextInt(2);
    int directionY=rand.nextInt(2);
    int directionZ=rand.nextInt(2);
{
      directionX+=~directionX >>> 31;
      directionX+=~directionY >>> 31;
      directionX+=~directionZ >>> 31;
    }
    for (int blocksBranch=0; blocksBranch <= branchSize; ) {
      if (directionChange != 1) {
        posX+=rand.nextInt(2) * directionX;
      }
      if (directionChange != 2) {
        posY+=rand.nextInt(2) * directionY;
      }
      if (directionChange != 3) {
        posZ+=rand.nextInt(2) * directionZ;
      }
      if (rand.nextInt(3) == 0) {
        int posX2=posX;
        int posY2=posY;
        int posZ2=posZ;
        int directionChange2=rand.nextInt(6);
        int directionX2=-rand.nextInt(2);
        int directionY2=-rand.nextInt(2);
        int directionZ2=-rand.nextInt(2);
{
          directionX2+=~directionX2 >>> 31;
          directionX2+=~directionY2 >>> 31;
          directionX2+=~directionZ2 >>> 31;
        }
        for (int blocksSubBranch=0; blocksSubBranch <= subBranchSize; ) {
          if (directionChange2 != 0) {
            posX2+=rand.nextInt(2) * directionX2;
          }
          if (directionChange2 != 1) {
            posY2+=rand.nextInt(2) * directionY2;
          }
          if (directionChange2 != 2) {
            posZ2+=rand.nextInt(2) * directionZ2;
          }
          r|=generateBlock(world,posX2,posY2,posZ2,genBlock,cluster);
          if (sparse) {
            blocksVein++;
            blocksBranch++;
          }
          blocksSubBranch++;
        }
      }
      r|=generateBlock(world,posX,posY,posZ,genBlock,cluster);
      blocksBranch++;
    }
    x=x + (rand.nextInt(3) - 1);
    y=y + (rand.nextInt(3) - 1);
    z=z + (rand.nextInt(3) - 1);
    blocksVein++;
  }
  return r;
}","@Override public boolean generate(World world,Random rand,int x,int y,int z){
  final int veinSize=genVeinSize;
  final int branchSize=1 + (veinSize / 30);
  final int subBranchSize=1 + (branchSize / 5);
  boolean r=false;
  for (int blocksVein=0; blocksVein <= veinSize; ) {
    int posX=x;
    int posY=y;
    int posZ=z;
    int directionChange=rand.nextInt(6);
    int directionX=-rand.nextInt(2);
    int directionY=-rand.nextInt(2);
    int directionZ=-rand.nextInt(2);
{
      directionX+=~directionX >>> 31;
      directionX+=~directionY >>> 31;
      directionX+=~directionZ >>> 31;
    }
    for (int blocksBranch=0; blocksBranch <= branchSize; ) {
      if (directionChange != 1) {
        posX+=rand.nextInt(2) * directionX;
      }
      if (directionChange != 2) {
        posY+=rand.nextInt(2) * directionY;
      }
      if (directionChange != 3) {
        posZ+=rand.nextInt(2) * directionZ;
      }
      if (rand.nextInt(3) == 0) {
        int posX2=posX;
        int posY2=posY;
        int posZ2=posZ;
        int directionChange2=rand.nextInt(6);
        int directionX2=-rand.nextInt(2);
        int directionY2=-rand.nextInt(2);
        int directionZ2=-rand.nextInt(2);
{
          directionX2+=~directionX2 >>> 31;
          directionX2+=~directionY2 >>> 31;
          directionX2+=~directionZ2 >>> 31;
        }
        for (int blocksSubBranch=0; blocksSubBranch <= subBranchSize; ) {
          if (directionChange2 != 0) {
            posX2+=rand.nextInt(2) * directionX2;
          }
          if (directionChange2 != 1) {
            posY2+=rand.nextInt(2) * directionY2;
          }
          if (directionChange2 != 2) {
            posZ2+=rand.nextInt(2) * directionZ2;
          }
          r|=generateBlock(world,posX2,posY2,posZ2,genBlock,cluster);
          if (sparse) {
            blocksVein++;
            blocksBranch++;
          }
          blocksSubBranch++;
        }
      }
      r|=generateBlock(world,posX,posY,posZ,genBlock,cluster);
      blocksBranch++;
    }
    x=x + (rand.nextInt(3) - 1);
    y=y + (rand.nextInt(3) - 1);
    z=z + (rand.nextInt(3) - 1);
    blocksVein++;
  }
  return r;
}"
60006,"public boolean isEqual(ItemWrapper other){
  if (other == null) {
    return false;
  }
  if (metadata == other.metadata) {
    if (item == other.item) {
      return true;
    }
    if (item != null && other.item != null) {
      return item.delegate.get() == item.delegate.get();
    }
  }
  return false;
}","public boolean isEqual(ItemWrapper other){
  if (other == null) {
    return false;
  }
  if (metadata == other.metadata) {
    if (item == other.item) {
      return true;
    }
    if (item != null && other.item != null) {
      return item.delegate.get() == other.item.delegate.get();
    }
  }
  return false;
}"
60007,"@Override public boolean generate(World world,Random rand,int x,int y,int z){
  int blocks=genClusterSize;
  if (blocks < 4) {
    return generateTiny(world,rand,x,y,z);
  }
  float f=rand.nextFloat() * (float)Math.PI;
  float xMin=x + 8 + (MathHelper.sin(f) * blocks) / 8F;
  float xMax=x + 8 - (MathHelper.sin(f) * blocks) / 8F;
  float zMin=z + 8 + (MathHelper.cos(f) * blocks) / 8F;
  float zMax=z + 8 - (MathHelper.cos(f) * blocks) / 8F;
  float yMin=(y + rand.nextInt(3)) - 2;
  float yMax=(y + rand.nextInt(3)) - 2;
  xMax-=xMin;
  yMax-=yMin;
  zMax-=zMin;
  boolean r=false;
  for (int i=0; i <= blocks; i++) {
    float xCenter=xMin + (xMax * i) / blocks;
    float yCenter=yMin + (yMax * i) / blocks;
    float zCenter=zMin + (zMax * i) / blocks;
    float size=((float)rand.nextDouble() * blocks) / 16f;
    float hMod=((MathHelper.sin((i * (float)Math.PI) / blocks) + 1f) * size + 1f) * .5f;
    float vMod=((MathHelper.sin((i * (float)Math.PI) / blocks) + 1f) * size + 1f) * .5f;
    int xStart=MathHelper.floor_float(xCenter - hMod);
    int yStart=MathHelper.floor_float(yCenter - vMod);
    int zStart=MathHelper.floor_float(zCenter - hMod);
    int xStop=MathHelper.floor_float(xCenter + hMod);
    int yStop=MathHelper.floor_float(yCenter + vMod);
    int zStop=MathHelper.floor_float(zCenter + hMod);
    for (int blockX=xStart; blockX <= xStop; blockX++) {
      float xDistSq=((blockX + .5f) - xCenter) / hMod;
      xDistSq*=xDistSq;
      if (xDistSq >= 1f) {
        continue;
      }
      for (int blockY=yStart; blockY <= yStop; blockY++) {
        float yDistSq=((blockY + .5f) - yCenter) / vMod;
        yDistSq*=yDistSq;
        float xyDistSq=yDistSq + xDistSq;
        if (xyDistSq >= 1f) {
          continue;
        }
        for (int blockZ=zStart; blockZ <= zStop; blockZ++) {
          float zDistSq=((blockZ + .5f) - zCenter) / hMod;
          xDistSq*=zDistSq;
          if (zDistSq + xyDistSq >= 1f) {
            continue;
          }
          r|=generateBlock(world,blockX,blockY,blockZ,genBlock,cluster);
        }
      }
    }
  }
  return r;
}","@Override public boolean generate(World world,Random rand,int x,int y,int z){
  int blocks=genClusterSize;
  if (blocks < 4) {
    return generateTiny(world,rand,x,y,z);
  }
  float f=rand.nextFloat() * (float)Math.PI;
  float xMin=x + 8 + (MathHelper.sin(f) * blocks) / 8F;
  float xMax=x + 8 - (MathHelper.sin(f) * blocks) / 8F;
  float zMin=z + 8 + (MathHelper.cos(f) * blocks) / 8F;
  float zMax=z + 8 - (MathHelper.cos(f) * blocks) / 8F;
  float yMin=(y + rand.nextInt(3)) - 2;
  float yMax=(y + rand.nextInt(3)) - 2;
  xMax-=xMin;
  yMax-=yMin;
  zMax-=zMin;
  boolean r=false;
  for (int i=0; i <= blocks; i++) {
    float xCenter=xMin + (xMax * i) / blocks;
    float yCenter=yMin + (yMax * i) / blocks;
    float zCenter=zMin + (zMax * i) / blocks;
    float size=((float)rand.nextDouble() * blocks) / 16f;
    float hMod=((MathHelper.sin((i * (float)Math.PI) / blocks) + 1f) * size + 1f) * .5f;
    float vMod=((MathHelper.sin((i * (float)Math.PI) / blocks) + 1f) * size + 1f) * .5f;
    int xStart=MathHelper.floor_float(xCenter - hMod);
    int yStart=MathHelper.floor_float(yCenter - vMod);
    int zStart=MathHelper.floor_float(zCenter - hMod);
    int xStop=MathHelper.floor_float(xCenter + hMod);
    int yStop=MathHelper.floor_float(yCenter + vMod);
    int zStop=MathHelper.floor_float(zCenter + hMod);
    for (int blockX=xStart; blockX <= xStop; blockX++) {
      float xDistSq=((blockX + .5f) - xCenter) / hMod;
      xDistSq*=xDistSq;
      if (xDistSq >= 1f) {
        continue;
      }
      for (int blockY=yStart; blockY <= yStop; blockY++) {
        float yDistSq=((blockY + .5f) - yCenter) / vMod;
        yDistSq*=yDistSq;
        float xyDistSq=yDistSq + xDistSq;
        if (xyDistSq >= 1f) {
          continue;
        }
        for (int blockZ=zStart; blockZ <= zStop; blockZ++) {
          float zDistSq=((blockZ + .5f) - zCenter) / hMod;
          zDistSq*=zDistSq;
          if (zDistSq + xyDistSq >= 1f) {
            continue;
          }
          r|=generateBlock(world,blockX,blockY,blockZ,genBlock,cluster);
        }
      }
    }
  }
  return r;
}"
60008,"@Override public boolean generate(World world,Random rand,int x,int y,int z){
  int blocks=genClusterSize;
  float f=rand.nextFloat() * (float)Math.PI;
  float yMin=(y + rand.nextInt(3)) - 2;
  float yMax=(y + rand.nextInt(3)) - 2;
  if (blocks == 1 && yMin > yMax) {
    ++blocks;
  }
  if (blocks == 2 && f > (float)Math.PI * 0.5f) {
    ++blocks;
  }
  float xMin=x + 8 + (MathHelper.sin(f) * blocks) / 8F;
  float xMax=x + 8 - (MathHelper.sin(f) * blocks) / 8F;
  float zMin=z + 8 + (MathHelper.cos(f) * blocks) / 8F;
  float zMax=z + 8 - (MathHelper.cos(f) * blocks) / 8F;
  xMax-=xMin;
  yMax-=yMin;
  zMax-=zMin;
  boolean r=false;
  for (int i=0; i <= blocks; i++) {
    float xCenter=xMin + (xMax * i) / blocks;
    float yCenter=yMin + (yMax * i) / blocks;
    float zCenter=zMin + (zMax * i) / blocks;
    float size=((float)rand.nextDouble() * blocks) / 16f;
    float hMod=((MathHelper.sin((i * (float)Math.PI) / blocks) + 1f) * size + 1f) * .5f;
    float vMod=((MathHelper.sin((i * (float)Math.PI) / blocks) + 1f) * size + 1f) * .5f;
    int xStart=MathHelper.floor_float(xCenter - hMod);
    int yStart=MathHelper.floor_float(yCenter - vMod);
    int zStart=MathHelper.floor_float(zCenter - hMod);
    int xStop=MathHelper.floor_float(xCenter + hMod);
    int yStop=MathHelper.floor_float(yCenter + vMod);
    int zStop=MathHelper.floor_float(zCenter + hMod);
    for (int blockX=xStart; blockX <= xStop; blockX++) {
      float xDistSq=((blockX + .5f) - xCenter) / hMod;
      xDistSq*=xDistSq;
      if (xDistSq >= 1f) {
        continue;
      }
      for (int blockY=yStart; blockY <= yStop; blockY++) {
        float yDistSq=((blockY + .5f) - yCenter) / vMod;
        yDistSq*=yDistSq;
        float xyDistSq=yDistSq + xDistSq;
        if (xyDistSq >= 1f) {
          continue;
        }
        for (int blockZ=zStart; blockZ <= zStop; blockZ++) {
          float zDistSq=((blockZ + .5f) - zCenter) / hMod;
          xDistSq*=zDistSq;
          if (zDistSq + xyDistSq >= 1f) {
            continue;
          }
          r|=generateBlock(world,blockX,blockY,blockZ,genBlock,cluster);
        }
      }
    }
  }
  return r;
}","@Override public boolean generate(World world,Random rand,int x,int y,int z){
  int blocks=genClusterSize;
  float f=rand.nextFloat() * (float)Math.PI;
  float yMin=(y + rand.nextInt(3)) - 2;
  float yMax=(y + rand.nextInt(3)) - 2;
  if (blocks == 1 && yMin > yMax) {
    ++blocks;
  }
  if (blocks == 2 && f > (float)Math.PI * 0.5f) {
    ++blocks;
  }
  float xMin=x + 8 + (MathHelper.sin(f) * blocks) / 8F;
  float xMax=x + 8 - (MathHelper.sin(f) * blocks) / 8F;
  float zMin=z + 8 + (MathHelper.cos(f) * blocks) / 8F;
  float zMax=z + 8 - (MathHelper.cos(f) * blocks) / 8F;
  xMax-=xMin;
  yMax-=yMin;
  zMax-=zMin;
  boolean r=false;
  for (int i=0; i <= blocks; i++) {
    float xCenter=xMin + (xMax * i) / blocks;
    float yCenter=yMin + (yMax * i) / blocks;
    float zCenter=zMin + (zMax * i) / blocks;
    float size=((float)rand.nextDouble() * blocks) / 16f;
    float hMod=((MathHelper.sin((i * (float)Math.PI) / blocks) + 1f) * size + 1f) * .5f;
    float vMod=((MathHelper.sin((i * (float)Math.PI) / blocks) + 1f) * size + 1f) * .5f;
    int xStart=MathHelper.floor_float(xCenter - hMod);
    int yStart=MathHelper.floor_float(yCenter - vMod);
    int zStart=MathHelper.floor_float(zCenter - hMod);
    int xStop=MathHelper.floor_float(xCenter + hMod);
    int yStop=MathHelper.floor_float(yCenter + vMod);
    int zStop=MathHelper.floor_float(zCenter + hMod);
    for (int blockX=xStart; blockX <= xStop; blockX++) {
      float xDistSq=((blockX + .5f) - xCenter) / hMod;
      xDistSq*=xDistSq;
      if (xDistSq >= 1f) {
        continue;
      }
      for (int blockY=yStart; blockY <= yStop; blockY++) {
        float yDistSq=((blockY + .5f) - yCenter) / vMod;
        yDistSq*=yDistSq;
        float xyDistSq=yDistSq + xDistSq;
        if (xyDistSq >= 1f) {
          continue;
        }
        for (int blockZ=zStart; blockZ <= zStop; blockZ++) {
          float zDistSq=((blockZ + .5f) - zCenter) / hMod;
          zDistSq*=zDistSq;
          if (zDistSq + xyDistSq >= 1f) {
            continue;
          }
          r|=generateBlock(world,blockX,blockY,blockZ,genBlock,cluster);
        }
      }
    }
  }
  return r;
}"
60009,"@Override public void set(E e){
  if (lastReturned == null)   throw new IllegalStateException();
  checkForComodification();
  linkBefore(e,lastReturned);
  delete(lastReturned);
  expectedModCount+=2;
}","@Override public void set(E e){
  checkForComodification();
  if (lastReturned == null)   throw new IllegalStateException();
  linkBefore(e,lastReturned);
  unlink(lastReturned);
  lastReturned=(next == null) ? tail : next.prev;
  expectedModCount+=2;
}"
60010,"public static void clearClientNames(){
  clientFrequencyNames=new LinkedHashMap<String,String>();
  clientFrequencyNamesReversed=new LinkedHashMap<String,String>();
}","public static void clearClientNames(){
  clientFrequencyNames.clear();
  clientFrequencyNamesReversed.clear();
}"
