record_number,buggy_code,fixed_code
79001,"/** 
 * Sets the look and feel (L&F) object that renders this component.
 * @param ui  the <code>TableHeaderUI</code> L&F object
 * @see UIDefaults#getUI
 */
public void setUI(TableHeaderUI ui){
  if (this.ui != ui) {
    super.setUI(ui);
    repaint();
  }
}","/** 
 * Sets the look and feel (L&amp;F) object that renders this component.
 * @param ui  the <code>TableHeaderUI</code> L&amp;F object
 * @see UIDefaults#getUI
 */
public void setUI(TableHeaderUI ui){
  if (this.ui != ui) {
    super.setUI(ui);
    repaint();
  }
}"
79002,"/** 
 * Returns the component used for drawing the cell.  This method is used to configure the renderer appropriately before drawing. <p> The <code>TableCellRenderer</code> is also responsible for rendering the the cell representing the table's current DnD drop location if it has one. If this renderer cares about rendering the DnD drop location, it should query the table directly to see if the given row and column represent the drop location: <pre> JTable.DropLocation dropLocation = table.getDropLocation(); if (dropLocation != null && !dropLocation.isInsertRow() && !dropLocation.isInsertColumn() && dropLocation.getRow() == row && dropLocation.getColumn() == column) { // this cell represents the current drop location // so render it specially, perhaps with a different color } </pre> <p> During a printing operation, this method will be called with <code>isSelected</code> and <code>hasFocus</code> values of <code>false</code> to prevent selection and focus from appearing in the printed output. To do other customization based on whether or not the table is being printed, check the return value from  {@link javax.swing.JComponent#isPaintingForPrint()}.
 * @param table           the <code>JTable</code> that is asking therenderer to draw; can be <code>null</code>
 * @param value           the value of the cell to be rendered.  It isup to the specific renderer to interpret and draw the value.  For example, if <code>value</code> is the string ""true"", it could be rendered as a string or it could be rendered as a check box that is checked.  <code>null</code> is a valid value
 * @param isSelected      true if the cell is to be rendered with theselection highlighted; otherwise false
 * @param hasFocus        if true, render cell appropriately.  Forexample, put a special border on the cell, if the cell can be edited, render in the color used to indicate editing
 * @param row             the row index of the cell being drawn.  Whendrawing the header, the value of <code>row</code> is -1
 * @param column          the column index of the cell being drawn
 * @see javax.swing.JComponent#isPaintingForPrint()
 */
Component getTableCellRendererComponent(JTable table,Object value,boolean isSelected,boolean hasFocus,int row,int column);","/** 
 * Returns the component used for drawing the cell.  This method is used to configure the renderer appropriately before drawing. <p> The <code>TableCellRenderer</code> is also responsible for rendering the the cell representing the table's current DnD drop location if it has one. If this renderer cares about rendering the DnD drop location, it should query the table directly to see if the given row and column represent the drop location: <pre> JTable.DropLocation dropLocation = table.getDropLocation(); if (dropLocation != null &amp;&amp; !dropLocation.isInsertRow() &amp;&amp; !dropLocation.isInsertColumn() &amp;&amp; dropLocation.getRow() == row &amp;&amp; dropLocation.getColumn() == column) { // this cell represents the current drop location // so render it specially, perhaps with a different color } </pre> <p> During a printing operation, this method will be called with <code>isSelected</code> and <code>hasFocus</code> values of <code>false</code> to prevent selection and focus from appearing in the printed output. To do other customization based on whether or not the table is being printed, check the return value from  {@link javax.swing.JComponent#isPaintingForPrint()}.
 * @param table           the <code>JTable</code> that is asking therenderer to draw; can be <code>null</code>
 * @param value           the value of the cell to be rendered.  It isup to the specific renderer to interpret and draw the value.  For example, if <code>value</code> is the string ""true"", it could be rendered as a string or it could be rendered as a check box that is checked.  <code>null</code> is a valid value
 * @param isSelected      true if the cell is to be rendered with theselection highlighted; otherwise false
 * @param hasFocus        if true, render cell appropriately.  Forexample, put a special border on the cell, if the cell can be edited, render in the color used to indicate editing
 * @param row             the row index of the cell being drawn.  Whendrawing the header, the value of <code>row</code> is -1
 * @param column          the column index of the cell being drawn
 * @see javax.swing.JComponent#isPaintingForPrint()
 */
Component getTableCellRendererComponent(JTable table,Object value,boolean isSelected,boolean hasFocus,int row,int column);"
79003,"/** 
 * @inheritDoc
 */
@Override public Dimension getMaximumSize(JComponent c){
  if (c.getComponentCount() > 0 && c.getLayout() != null) {
    return null;
  }
  AbstractButton b=(AbstractButton)c;
  SynthContext ss=getContext(c);
  Dimension size=ss.getStyle().getGraphicsUtils(ss).getMaximumSize(ss,ss.getStyle().getFont(ss),b.getText(),getSizingIcon(b),b.getHorizontalAlignment(),b.getVerticalAlignment(),b.getHorizontalTextPosition(),b.getVerticalTextPosition(),b.getIconTextGap(),b.getDisplayedMnemonicIndex());
  ss.dispose();
  return size;
}","/** 
 * {@inheritDoc}
 */
@Override public Dimension getMaximumSize(JComponent c){
  if (c.getComponentCount() > 0 && c.getLayout() != null) {
    return null;
  }
  AbstractButton b=(AbstractButton)c;
  SynthContext ss=getContext(c);
  Dimension size=ss.getStyle().getGraphicsUtils(ss).getMaximumSize(ss,ss.getStyle().getFont(ss),b.getText(),getSizingIcon(b),b.getHorizontalAlignment(),b.getVerticalAlignment(),b.getHorizontalTextPosition(),b.getVerticalTextPosition(),b.getIconTextGap(),b.getDisplayedMnemonicIndex());
  ss.dispose();
  return size;
}"
79004,"/** 
 * @inheritDoc
 */
@Override public void paintBorder(SynthContext context,Graphics g,int x,int y,int w,int h){
  context.getPainter().paintButtonBorder(context,g,x,y,w,h);
}","/** 
 * {@inheritDoc}
 */
@Override public void paintBorder(SynthContext context,Graphics g,int x,int y,int w,int h){
  context.getPainter().paintButtonBorder(context,g,x,y,w,h);
}"
79005,"/** 
 * @inheritDoc
 */
@Override protected void installListeners(AbstractButton b){
  super.installListeners(b);
  b.addPropertyChangeListener(this);
}","/** 
 * {@inheritDoc}
 */
@Override protected void installListeners(AbstractButton b){
  super.installListeners(b);
  b.addPropertyChangeListener(this);
}"
79006,"/** 
 * @inheritDoc
 */
@Override public Dimension getMinimumSize(JComponent c){
  if (c.getComponentCount() > 0 && c.getLayout() != null) {
    return null;
  }
  AbstractButton b=(AbstractButton)c;
  SynthContext ss=getContext(c);
  Dimension size=ss.getStyle().getGraphicsUtils(ss).getMinimumSize(ss,ss.getStyle().getFont(ss),b.getText(),getSizingIcon(b),b.getHorizontalAlignment(),b.getVerticalAlignment(),b.getHorizontalTextPosition(),b.getVerticalTextPosition(),b.getIconTextGap(),b.getDisplayedMnemonicIndex());
  ss.dispose();
  return size;
}","/** 
 * {@inheritDoc}
 */
@Override public Dimension getMinimumSize(JComponent c){
  if (c.getComponentCount() > 0 && c.getLayout() != null) {
    return null;
  }
  AbstractButton b=(AbstractButton)c;
  SynthContext ss=getContext(c);
  Dimension size=ss.getStyle().getGraphicsUtils(ss).getMinimumSize(ss,ss.getStyle().getFont(ss),b.getText(),getSizingIcon(b),b.getHorizontalAlignment(),b.getVerticalAlignment(),b.getHorizontalTextPosition(),b.getVerticalTextPosition(),b.getIconTextGap(),b.getDisplayedMnemonicIndex());
  ss.dispose();
  return size;
}"
79007,"/** 
 * @inheritDoc
 */
@Override public void propertyChange(PropertyChangeEvent e){
  if (SynthLookAndFeel.shouldUpdateStyle(e)) {
    updateStyle((AbstractButton)e.getSource());
  }
}","/** 
 * {@inheritDoc}
 */
@Override public void propertyChange(PropertyChangeEvent e){
  if (SynthLookAndFeel.shouldUpdateStyle(e)) {
    updateStyle((AbstractButton)e.getSource());
  }
}"
79008,"/** 
 * @inheritDoc
 */
@Override protected void installDefaults(AbstractButton b){
  updateStyle(b);
  LookAndFeel.installProperty(b,""String_Node_Str"",Boolean.TRUE);
}","/** 
 * {@inheritDoc}
 */
@Override protected void installDefaults(AbstractButton b){
  updateStyle(b);
  LookAndFeel.installProperty(b,""String_Node_Str"",Boolean.TRUE);
}"
79009,"/** 
 * @inheritDoc
 */
@Override protected void uninstallListeners(AbstractButton b){
  super.uninstallListeners(b);
  b.removePropertyChangeListener(this);
}","/** 
 * {@inheritDoc}
 */
@Override protected void uninstallListeners(AbstractButton b){
  super.uninstallListeners(b);
  b.removePropertyChangeListener(this);
}"
79010,"/** 
 * @inheritDoc
 */
@Override protected void uninstallDefaults(AbstractButton b){
  SynthContext context=getContext(b,ENABLED);
  style.uninstallDefaults(context);
  context.dispose();
  style=null;
}","/** 
 * {@inheritDoc}
 */
@Override protected void uninstallDefaults(AbstractButton b){
  SynthContext context=getContext(b,ENABLED);
  style.uninstallDefaults(context);
  context.dispose();
  style=null;
}"
