record_number,buggy_code,fixed_code
42001,"@Override public boolean onCommand(CommandSender sender,Command command,String label,String[] args){
  if (sender instanceof Player) {
    if (args.length == 0) {
      try {
        return commandMap.get(""String_Node_Str"").execute(plugin.wrapPlayer((Player)sender),args);
      }
 catch (      Exception e) {
        e.printStackTrace();
      }
    }
    if (args[0] == null) {
      api.getLogger().severe(""String_Node_Str"");
      return false;
    }
    PlotCommand _command=commandMap.get(args[0]);
    if (_command == null) {
      sender.sendMessage(""String_Node_Str"");
      return true;
    }
 else {
      try {
        return _command.execute(new BukkitPlayer((Player)sender),args);
      }
 catch (      Exception e) {
        e.printStackTrace();
      }
    }
  }
 else {
    return handleConsoleCommands(sender,args);
  }
  return false;
}","@Override public boolean onCommand(CommandSender sender,Command command,String label,String[] args){
  if (sender instanceof Player) {
    if (args.length == 0) {
      return commandMap.get(""String_Node_Str"").execute(plugin.wrapPlayer((Player)sender),args);
    }
    if (args[0] == null) {
      api.getLogger().severe(""String_Node_Str"");
      return false;
    }
    PlotCommand _command=commandMap.get(args[0]);
    if (_command == null) {
      sender.sendMessage(""String_Node_Str"");
      return true;
    }
 else {
      return _command.execute(new BukkitPlayer((Player)sender),args);
    }
  }
 else {
    return handleConsoleCommands(sender,args);
  }
}"
42002,"public BukkitServerBridge(Logger logger){
  super(logger);
}","public BukkitServerBridge(PlotMe_CorePlugin plotMeCorePlugin,Logger logger){
  super(logger);
  this.plotMeCorePlugin=plotMeCorePlugin;
}"
42003,"@Override public int scheduleSyncRepeatingTask(Runnable func,long l,long l2){
  return Bukkit.getScheduler().scheduleSyncRepeatingTask(PlotMe_CorePlugin.getInstance(),func,l,l2);
}","@Override public int scheduleSyncRepeatingTask(Runnable func,long l,long l2){
  return Bukkit.getScheduler().scheduleSyncRepeatingTask(plotMeCorePlugin,func,l,l2);
}"
42004,"@Override public void runTaskLater(Runnable runnable,long delay){
  Bukkit.getServer().getScheduler().runTaskLater(PlotMe_CorePlugin.getInstance(),runnable,delay);
}","@Override public void runTaskLater(Runnable runnable,long delay){
  Bukkit.getServer().getScheduler().runTaskLater(plotMeCorePlugin,runnable,delay);
}"
42005,"@Override public File getDataFolder(){
  return PlotMe_CorePlugin.getInstance().getDataFolder();
}","@Override public File getDataFolder(){
  return plotMeCorePlugin.getDataFolder();
}"
42006,"public File getWorldFolder(){
  return PlotMe_CorePlugin.getInstance().getServer().getWorldContainer();
}","public File getWorldFolder(){
  return plotMeCorePlugin.getServer().getWorldContainer();
}"
42007,"@Override public void scheduleSyncDelayedTask(Runnable task,int i){
  Bukkit.getScheduler().scheduleSyncDelayedTask(PlotMe_CorePlugin.getInstance(),task,i);
}","@Override public void scheduleSyncDelayedTask(Runnable task,int i){
  Bukkit.getScheduler().scheduleSyncDelayedTask(plotMeCorePlugin,task,i);
}"
42008,"@Override public void runTaskAsynchronously(Runnable runnable){
  Bukkit.getScheduler().runTaskAsynchronously(PlotMe_CorePlugin.getInstance(),runnable);
}","@Override public void runTaskAsynchronously(Runnable runnable){
  Bukkit.getScheduler().runTaskAsynchronously(plotMeCorePlugin,runnable);
}"
42009,"/** 
 * Setup PlotMe plugin hooks
 */
@Override public void setupHooks(){
  PluginManager pluginManager=PlotMe_CorePlugin.getInstance().getServer().getPluginManager();
  if (pluginManager.getPlugin(""String_Node_Str"") != null) {
    WorldEditPlugin worldEdit=(WorldEditPlugin)pluginManager.getPlugin(""String_Node_Str"");
    worldEdit.getWorldEdit().getEventBus().register(new PlotWorldEditListener());
  }
  setUsingLwc(pluginManager.getPlugin(""String_Node_Str"") != null);
}","/** 
 * Setup PlotMe plugin hooks
 */
@Override public void setupHooks(){
  PluginManager pluginManager=plotMeCorePlugin.getServer().getPluginManager();
  if (pluginManager.getPlugin(""String_Node_Str"") != null) {
    WorldEditPlugin worldEdit=(WorldEditPlugin)pluginManager.getPlugin(""String_Node_Str"");
    worldEdit.getWorldEdit().getEventBus().register(new PlotWorldEditListener());
  }
  setUsingLwc(pluginManager.getPlugin(""String_Node_Str"") != null);
}"
42010,"@Override public void onEnable(){
  INSTANCE=this;
  getLogger().info(""String_Node_Str"");
  serverObjectBuilder=new BukkitServerBridge(getLogger());
  plotme.registerServerBridge(serverObjectBuilder);
  getAPI().enable();
  doMetric();
  PluginManager pm=getServer().getPluginManager();
  pm.registerEvents(new BukkitPlotListener(),this);
  pm.registerEvents(new BukkitPlotDenyListener(),this);
  this.getCommand(""String_Node_Str"").setExecutor(new BukkitCommand(this));
}","@Override public void onEnable(){
  INSTANCE=this;
  getLogger().info(""String_Node_Str"");
  serverObjectBuilder=new BukkitServerBridge(this,getLogger());
  plotme.registerServerBridge(serverObjectBuilder);
  getAPI().enable();
  doMetric();
  PluginManager pm=getServer().getPluginManager();
  pm.registerEvents(new BukkitPlotListener(this),this);
  pm.registerEvents(new BukkitPlotDenyListener(this),this);
  this.getCommand(""String_Node_Str"").setExecutor(new BukkitCommand(this));
}"
42011,"/** 
 * Uses the code that allows a delay while ""Teleporting"" or moving the entity
 * @param location new location
 */
@Override public void teleport(Location location){
  final int delay=PlotMe_CorePlugin.getInstance().getAPI().getConfig().getInt(""String_Node_Str"");
  player.sendMessage(String.format(""String_Node_Str"",delay));
  PlotMe_CorePlugin.getInstance().getServerObjectBuilder().runTaskLater(new TeleportRunnable(this,location),delay);
}","/** 
 * Uses the code that allows a delay while ""Teleporting"" or moving the entity
 * @param location new location
 */
@Override public void teleport(Location location){
  final int delay=PlotMe_CorePlugin.getInstance().getAPI().getConfig().getInt(""String_Node_Str"");
  if (delay != 0) {
    player.sendMessage(String.format(""String_Node_Str"",delay));
  }
  PlotMe_CorePlugin.getInstance().getServerObjectBuilder().runTaskLater(new TeleportRunnable(this,location),delay);
}"
