record_number,buggy_code,fixed_code
82001,"public String getSchedule(boolean[] daysFilter){
  return classSchedule.getDescription(daysFilter);
}","public String getSchedule(){
  return getScheduleWithFilter(daysFilters);
}"
82002,"/** 
 * Get the HTML representation of an image. Visible for testing.
 * @param res the {@link ImageResource} to render as HTML
 * @param valign the vertical alignment
 * @param isPlaceholder if true, do not include the background image
 * @return the rendered HTML
 */
SafeHtml getImageHtml(ImageResource res,VerticalAlignmentConstant valign,boolean isPlaceholder){
  if (isPlaceholder) {
    return template.imagePlaceholder(direction,res.getWidth());
  }
 else {
    String vert=valign == HasVerticalAlignment.ALIGN_MIDDLE ? ""String_Node_Str"" : valign.getVerticalAlignString();
    return SafeHtmlUtils.fromTrustedString(""String_Node_Str"" + direction + ""String_Node_Str""+ res.getWidth()+ ""String_Node_Str""+ res.getURL()+ ""String_Node_Str""+ SafeHtmlUtils.htmlEscape(vert)+ ""String_Node_Str"");
  }
}","/** 
 * Get the HTML representation of an image. Visible for testing.
 * @param res the {@link ImageResource} to render as HTML
 * @param valign the vertical alignment
 * @param isPlaceholder if true, do not include the background image
 * @return the rendered HTML
 */
SafeHtml getImageHtml(ImageResource res,VerticalAlignmentConstant valign,boolean isPlaceholder){
  SafeHtml image;
  if (isPlaceholder) {
    image=SafeHtmlUtils.fromTrustedString(""String_Node_Str"");
  }
 else {
    AbstractImagePrototype proto=AbstractImagePrototype.create(res);
    image=SafeHtmlUtils.fromTrustedString(proto.getHTML());
  }
  if (HasVerticalAlignment.ALIGN_TOP == valign) {
    return template.imageWrapperTop(direction,image);
  }
 else   if (HasVerticalAlignment.ALIGN_BOTTOM == valign) {
    return template.imageWrapperBottom(direction,image);
  }
 else {
    int halfHeight=1 + (int)Math.round(res.getHeight() / 2.0);
    return template.imageWrapperMiddle(direction,halfHeight,image);
  }
}"
82003,"/** 
 * Construct a new   {@link IconCellDecorator}.
 * @param icon the icon to use
 * @param cell the cell to decorate
 * @param valign the vertical alignment attribute of the contents
 * @param spacing the pixel space between the icon and the cell
 */
public IconCellDecorator(ImageResource icon,Cell<C> cell,VerticalAlignmentConstant valign,int spacing){
  if (template == null) {
    template=GWT.create(Template.class);
  }
  this.cell=cell;
  this.iconHtml=getImageHtml(icon,valign,false);
  this.imageWidth=icon.getWidth() + 6;
  this.placeHolderHtml=getImageHtml(icon,valign,true);
}","/** 
 * Construct a new   {@link IconCellDecorator}.
 * @param icon the icon to use
 * @param cell the cell to decorate
 * @param valign the vertical alignment attribute of the contents
 * @param spacing the pixel space between the icon and the cell
 */
public IconCellDecorator(ImageResource icon,Cell<C> cell,VerticalAlignmentConstant valign,int spacing){
  if (template == null) {
    template=GWT.create(Template.class);
  }
  this.cell=cell;
  this.iconHtml=getImageHtml(icon,valign,false);
  this.imageWidth=icon.getWidth() + spacing;
  this.placeHolderHtml=getImageHtml(icon,valign,true);
}"
82004,"/** 
 * Get the HTML representation of an image.
 * @param res the {@link ImageResource} to render as HTML
 * @return the rendered HTML
 */
private SafeHtml getImageHtml(ImageResource res){
  return SafeHtmlUtils.fromTrustedString(""String_Node_Str"" + (LocaleInfo.getCurrentLocale().isRTL() ? ""String_Node_Str"" : ""String_Node_Str"") + ""String_Node_Str""+ res.getWidth()+ ""String_Node_Str""+ res.getURL()+ ""String_Node_Str"");
}","/** 
 * Get the HTML representation of an image.
 * @param res the {@link ImageResource} to render as HTML
 * @return the rendered HTML
 */
private SafeHtml getImageHtml(ImageResource res){
  AbstractImagePrototype proto=AbstractImagePrototype.create(res);
  SafeHtml image=SafeHtmlUtils.fromTrustedString(proto.getHTML());
  return template.imageWrapper((LocaleInfo.getCurrentLocale().isRTL() ? ""String_Node_Str"" : ""String_Node_Str""),res.getWidth(),res.getHeight(),image);
}"
82005,"/** 
 * Get the HTML representation of an image.
 * @param res the {@link ImageResource} to render as HTML
 * @param isTop true if the image is for a top level element.
 * @return the rendered HTML
 */
private SafeHtml getImageHtml(ImageResource res,boolean isTop){
  StringBuilder classesBuilder=new StringBuilder(style.cellTreeItemImage());
  if (isTop) {
    classesBuilder.append(""String_Node_Str"").append(style.cellTreeTopItemImage());
  }
  String direction;
  if (LocaleInfo.getCurrentLocale().isRTL()) {
    direction=""String_Node_Str"";
  }
 else {
    direction=""String_Node_Str"";
  }
  return template.image(classesBuilder.toString(),direction,res.getHeight(),res.getWidth(),res.getURL());
}","/** 
 * Get the HTML representation of an image.
 * @param res the {@link ImageResource} to render as HTML
 * @param isTop true if the image is for a top level element.
 * @return the rendered HTML
 */
private SafeHtml getImageHtml(ImageResource res,boolean isTop){
  StringBuilder classesBuilder=new StringBuilder(style.cellTreeItemImage());
  if (isTop) {
    classesBuilder.append(""String_Node_Str"").append(style.cellTreeTopItemImage());
  }
  String direction;
  if (LocaleInfo.getCurrentLocale().isRTL()) {
    direction=""String_Node_Str"";
  }
 else {
    direction=""String_Node_Str"";
  }
  AbstractImagePrototype proto=AbstractImagePrototype.create(res);
  SafeHtml image=SafeHtmlUtils.fromTrustedString(proto.getHTML());
  return template.imageWrapper(classesBuilder.toString(),direction,res.getWidth(),res.getHeight(),image);
}"
82006,"public void onWindowClosing(ClosingEvent event){
  StringBuilder sb=new StringBuilder();
  for (  EntityProxyId id : favoriteIds) {
    sb.append(id.asString()).append(""String_Node_Str"");
  }
  Cookies.setCookie(COOKIE_NAME,sb.toString());
}","public void onWindowClosing(ClosingEvent event){
  StringBuilder sb=new StringBuilder();
  for (  EntityProxyId id : favoriteIds) {
    sb.append(requestFactory.getHistoryToken(id)).append(""String_Node_Str"");
  }
  Cookies.setCookie(COOKIE_NAME,sb.toString());
}"
82007,"public FavoritesManager(RequestFactory requestFactory){
  String cookie=Cookies.getCookie(COOKIE_NAME);
  if (cookie != null) {
    try {
      for (      String fragment : cookie.split(""String_Node_Str"")) {
        if (fragment.length() == 0) {
          continue;
        }
        EntityProxyId id=requestFactory.getProxyId(fragment);
        favoriteIds.add(id);
      }
    }
 catch (    NumberFormatException e) {
      favoriteIds.clear();
    }
  }
  Window.addWindowClosingHandler(new ClosingHandler(){
    public void onWindowClosing(    ClosingEvent event){
      StringBuilder sb=new StringBuilder();
      for (      EntityProxyId id : favoriteIds) {
        sb.append(id.asString()).append(""String_Node_Str"");
      }
      Cookies.setCookie(COOKIE_NAME,sb.toString());
    }
  }
);
}","public FavoritesManager(final RequestFactory requestFactory){
  String cookie=Cookies.getCookie(COOKIE_NAME);
  if (cookie != null) {
    try {
      for (      String fragment : cookie.split(""String_Node_Str"")) {
        if (fragment.length() == 0) {
          continue;
        }
        EntityProxyId id=requestFactory.getProxyId(fragment);
        favoriteIds.add(id);
      }
    }
 catch (    NumberFormatException e) {
      favoriteIds.clear();
    }
  }
  Window.addWindowClosingHandler(new ClosingHandler(){
    public void onWindowClosing(    ClosingEvent event){
      StringBuilder sb=new StringBuilder();
      for (      EntityProxyId id : favoriteIds) {
        sb.append(requestFactory.getHistoryToken(id)).append(""String_Node_Str"");
      }
      Cookies.setCookie(COOKIE_NAME,sb.toString());
    }
  }
);
}"
82008,"@UiHandler(""String_Node_Str"") void onSave(ClickEvent e){
  final RequestObject<Void> request=editorDriver.<Void>flush();
  if (editorDriver.hasErrors()) {
    dialog.setText(""String_Node_Str"");
    return;
  }
  request.fire(new Receiver<Void>(){
    @Override public void onSuccess(    Void response,    Set<SyncResult> syncResults){
      dialog.hide();
    }
    @Override public void onViolation(    Set<Violation> errors){
      dialog.setText(""String_Node_Str"");
      editorDriver.setViolations(errors);
    }
  }
);
}","@UiHandler(""String_Node_Str"") void onSave(ClickEvent e){
  final RequestObject<Void> request=editorDriver.<Void>flush();
  if (editorDriver.hasErrors()) {
    dialog.setText(""String_Node_Str"");
    return;
  }
  request.fire(new Receiver<Void>(){
    @Override public void onSuccess(    Void response){
      dialog.hide();
    }
    @Override public void onViolation(    Set<Violation> errors){
      dialog.setText(""String_Node_Str"");
      editorDriver.setViolations(errors);
    }
  }
);
}"
82009,"private void edit(){
  ProxyRequest<PersonProxy> fetchRequest=requestFactory.personRequest().findPerson(person.getId());
  editorDriver=GWT.create(Driver.class);
  editorDriver.initialize(null,requestFactory,personEditor);
  fetchRequest.with(editorDriver.getPaths());
  fetchRequest.fire(new Receiver<PersonProxy>(){
    public void onSuccess(    PersonProxy person,    Set<SyncResult> syncResults){
      editorDriver.edit(person,requestFactory.personRequest().persist(person));
      personEditor.focus();
    }
  }
);
  favorite.setValue(manager.isFavorite(person),false);
  dialog.center();
}","private void edit(){
  ProxyRequest<PersonProxy> fetchRequest=requestFactory.personRequest().findPerson(person.getId());
  editorDriver=GWT.create(Driver.class);
  editorDriver.initialize(null,requestFactory,personEditor);
  fetchRequest.with(editorDriver.getPaths());
  fetchRequest.fire(new Receiver<PersonProxy>(){
    @Override public void onSuccess(    PersonProxy person){
      editorDriver.edit(person,requestFactory.personRequest().persist(person));
      personEditor.focus();
    }
  }
);
  favorite.setValue(manager.isFavorite(person),false);
  dialog.center();
}"
82010,"public void onSuccess(PersonProxy person,Set<SyncResult> syncResults){
  editorDriver.edit(person,requestFactory.personRequest().persist(person));
  personEditor.focus();
}","@Override public void onSuccess(PersonProxy person){
  editorDriver.edit(person,requestFactory.personRequest().persist(person));
  personEditor.focus();
}"
