record_number,buggy_code,fixed_code
46001,"public void cellStatusChanged(final Cell cell,final CellStatus status){
  SwingUtilities.invokeLater(new Runnable(){
    public void run(){
      DefaultMutableTreeNode node=cellNodes.get(cell);
      if (status == CellStatus.DISK) {
        if (node != null) {
          logger.warning(""String_Node_Str"" + cell.getName());
          TreeModel m=cellHierarchyTree.getModel();
          ((DefaultTreeModel)m).removeNodeFromParent(node);
          cellNodes.remove(cell);
        }
      }
 else       if (status == CellStatus.RENDERING) {
        if (node == null) {
          logger.warning(""String_Node_Str"" + cell.getName());
          createJTreeNode(cell);
        }
      }
    }
  }
);
}","public void cellStatusChanged(final Cell cell,final CellStatus status){
  SwingUtilities.invokeLater(new Runnable(){
    public void run(){
      DefaultMutableTreeNode node=cellNodes.get(cell);
      if (status == CellStatus.DISK) {
        if (node != null) {
          logger.warning(""String_Node_Str"" + cell.getName());
          if (selectedCell == cell) {
            dirtyPanelSet.clear();
          }
          TreeModel m=cellHierarchyTree.getModel();
          ((DefaultTreeModel)m).removeNodeFromParent(node);
          cellNodes.remove(cell);
        }
      }
 else       if (status == CellStatus.RENDERING) {
        if (node == null) {
          logger.warning(""String_Node_Str"" + cell.getName());
          createJTreeNode(cell);
        }
      }
    }
  }
);
}"
46002,"/** 
 * Constructor 
 */
public CellPropertiesJFrame(){
  factoryList=new LinkedList();
  stateUpdates=new StateUpdates();
  initComponents();
  listModel=new DefaultListModel();
  capabilityList.setModel(listModel);
  capabilityList.addListSelectionListener(new CapabilityListSelectionListener());
  basicPropertiesFactory=new BasicJPanel();
  basicPropertiesFactory.setCellPropertiesEditor(this);
  positionPropertiesFactory=new PositionJPanel();
  positionPropertiesFactory.setCellPropertiesEditor(this);
  treeRoot=new DefaultMutableTreeNode(""String_Node_Str"");
  cellNodes=new HashMap();
  ((DefaultTreeModel)cellHierarchyTree.getModel()).setRoot(treeRoot);
  cellHierarchyTree.setCellRenderer(new CellTreeRenderer());
  cellListener=new CellStatusChangeListener(){
    public void cellStatusChanged(    final Cell cell,    final CellStatus status){
      SwingUtilities.invokeLater(new Runnable(){
        public void run(){
          DefaultMutableTreeNode node=cellNodes.get(cell);
          if (status == CellStatus.DISK) {
            if (node != null) {
              logger.warning(""String_Node_Str"" + cell.getName());
              TreeModel m=cellHierarchyTree.getModel();
              ((DefaultTreeModel)m).removeNodeFromParent(node);
              cellNodes.remove(cell);
            }
          }
 else           if (status == CellStatus.RENDERING) {
            if (node == null) {
              logger.warning(""String_Node_Str"" + cell.getName());
              createJTreeNode(cell);
            }
          }
        }
      }
);
    }
  }
;
  treeListener=new TreeSelectionListener(){
    public void valueChanged(    TreeSelectionEvent e){
      DefaultMutableTreeNode selectedNode=(DefaultMutableTreeNode)cellHierarchyTree.getLastSelectedPathComponent();
      if (selectedNode != null) {
        Object userObject=selectedNode.getUserObject();
        if (userObject instanceof Cell) {
          setSelectedCell((Cell)userObject);
        }
 else {
          setSelectedCell(null);
        }
      }
 else {
        setSelectedCell(null);
      }
    }
  }
;
  cellHierarchyTree.setDragEnabled(true);
  DropTarget dt=new DropTarget();
  try {
    dt.addDropTargetListener(new CellDropTargetListener());
  }
 catch (  TooManyListenersException ex) {
    Logger.getLogger(CellPropertiesJFrame.class.getName()).log(Level.SEVERE,null,ex);
  }
  cellHierarchyTree.setDropTarget(dt);
  addWindowListener(new WindowAdapter(){
    @Override public void windowClosing(    WindowEvent e){
      if (dirtyPanelSet.isEmpty() == false) {
        int result=JOptionPane.showConfirmDialog(CellPropertiesJFrame.this,""String_Node_Str"",""String_Node_Str"",JOptionPane.YES_NO_OPTION,JOptionPane.QUESTION_MESSAGE);
        if (result == JOptionPane.YES_OPTION) {
          applyValues();
        }
      }
      for (      PropertiesFactorySPI factory : factoryList) {
        factory.close();
      }
    }
  }
);
}","/** 
 * Constructor 
 */
public CellPropertiesJFrame(){
  factoryList=new LinkedList();
  stateUpdates=new StateUpdates();
  initComponents();
  listModel=new DefaultListModel();
  capabilityList.setModel(listModel);
  capabilityList.addListSelectionListener(new CapabilityListSelectionListener());
  basicPropertiesFactory=new BasicJPanel();
  basicPropertiesFactory.setCellPropertiesEditor(this);
  positionPropertiesFactory=new PositionJPanel();
  positionPropertiesFactory.setCellPropertiesEditor(this);
  treeRoot=new DefaultMutableTreeNode(""String_Node_Str"");
  cellNodes=new HashMap();
  ((DefaultTreeModel)cellHierarchyTree.getModel()).setRoot(treeRoot);
  cellHierarchyTree.setCellRenderer(new CellTreeRenderer());
  cellListener=new CellStatusChangeListener(){
    public void cellStatusChanged(    final Cell cell,    final CellStatus status){
      SwingUtilities.invokeLater(new Runnable(){
        public void run(){
          DefaultMutableTreeNode node=cellNodes.get(cell);
          if (status == CellStatus.DISK) {
            if (node != null) {
              logger.warning(""String_Node_Str"" + cell.getName());
              if (selectedCell == cell) {
                dirtyPanelSet.clear();
              }
              TreeModel m=cellHierarchyTree.getModel();
              ((DefaultTreeModel)m).removeNodeFromParent(node);
              cellNodes.remove(cell);
            }
          }
 else           if (status == CellStatus.RENDERING) {
            if (node == null) {
              logger.warning(""String_Node_Str"" + cell.getName());
              createJTreeNode(cell);
            }
          }
        }
      }
);
    }
  }
;
  treeListener=new TreeSelectionListener(){
    public void valueChanged(    TreeSelectionEvent e){
      DefaultMutableTreeNode selectedNode=(DefaultMutableTreeNode)cellHierarchyTree.getLastSelectedPathComponent();
      if (selectedNode != null) {
        Object userObject=selectedNode.getUserObject();
        if (userObject instanceof Cell) {
          setSelectedCell((Cell)userObject);
        }
 else {
          setSelectedCell(null);
        }
      }
 else {
        setSelectedCell(null);
      }
    }
  }
;
  cellHierarchyTree.setDragEnabled(true);
  DropTarget dt=new DropTarget();
  try {
    dt.addDropTargetListener(new CellDropTargetListener());
  }
 catch (  TooManyListenersException ex) {
    Logger.getLogger(CellPropertiesJFrame.class.getName()).log(Level.SEVERE,null,ex);
  }
  cellHierarchyTree.setDropTarget(dt);
  addWindowListener(new WindowAdapter(){
    @Override public void windowClosing(    WindowEvent e){
      if (dirtyPanelSet.isEmpty() == false) {
        int result=JOptionPane.showConfirmDialog(CellPropertiesJFrame.this,""String_Node_Str"",""String_Node_Str"",JOptionPane.YES_NO_OPTION,JOptionPane.QUESTION_MESSAGE);
        if (result == JOptionPane.YES_OPTION) {
          applyValues();
        }
      }
      for (      PropertiesFactorySPI factory : factoryList) {
        factory.close();
      }
    }
  }
);
}"
46003,"@Override public void windowClosing(WindowEvent e){
  if (dirtyPanelSet.isEmpty() == false) {
    int result=JOptionPane.showConfirmDialog(CellPropertiesJFrame.this,""String_Node_Str"",""String_Node_Str"",JOptionPane.YES_NO_OPTION,JOptionPane.QUESTION_MESSAGE);
    if (result == JOptionPane.YES_OPTION) {
      applyValues();
    }
  }
  for (  PropertiesFactorySPI factory : factoryList) {
    factory.close();
  }
}","@Override public void windowClosing(WindowEvent e){
  if (dirtyPanelSet.isEmpty() == false) {
    int result=JOptionPane.showConfirmDialog(CellPropertiesJFrame.this,""String_Node_Str"",""String_Node_Str"",JOptionPane.YES_NO_OPTION,JOptionPane.QUESTION_MESSAGE);
    if (result == JOptionPane.YES_OPTION) {
      applyValues();
    }
 else {
      restoreValues();
    }
  }
  for (  PropertiesFactorySPI factory : factoryList) {
    factory.close();
  }
}"
46004,"/** 
 * Constructor 
 */
public CellPropertiesJFrame(){
  factoryList=new LinkedList();
  stateUpdates=new StateUpdates();
  initComponents();
  listModel=new DefaultListModel();
  capabilityList.setModel(listModel);
  capabilityList.addListSelectionListener(new CapabilityListSelectionListener());
  basicPropertiesFactory=new BasicJPanel();
  basicPropertiesFactory.setCellPropertiesEditor(this);
  positionPropertiesFactory=new PositionJPanel();
  positionPropertiesFactory.setCellPropertiesEditor(this);
  treeRoot=new DefaultMutableTreeNode(""String_Node_Str"");
  cellNodes=new HashMap();
  ((DefaultTreeModel)cellHierarchyTree.getModel()).setRoot(treeRoot);
  cellHierarchyTree.setCellRenderer(new CellTreeRenderer());
  cellListener=new CellStatusChangeListener(){
    public void cellStatusChanged(    final Cell cell,    final CellStatus status){
      SwingUtilities.invokeLater(new Runnable(){
        public void run(){
          DefaultMutableTreeNode node=cellNodes.get(cell);
          if (status == CellStatus.DISK) {
            if (node != null) {
              logger.warning(""String_Node_Str"" + cell.getName());
              if (selectedCell == cell) {
                dirtyPanelSet.clear();
              }
              TreeModel m=cellHierarchyTree.getModel();
              ((DefaultTreeModel)m).removeNodeFromParent(node);
              cellNodes.remove(cell);
            }
          }
 else           if (status == CellStatus.RENDERING) {
            if (node == null) {
              logger.warning(""String_Node_Str"" + cell.getName());
              createJTreeNode(cell);
            }
          }
        }
      }
);
    }
  }
;
  treeListener=new TreeSelectionListener(){
    public void valueChanged(    TreeSelectionEvent e){
      DefaultMutableTreeNode selectedNode=(DefaultMutableTreeNode)cellHierarchyTree.getLastSelectedPathComponent();
      if (selectedNode != null) {
        Object userObject=selectedNode.getUserObject();
        if (userObject instanceof Cell) {
          setSelectedCell((Cell)userObject);
        }
 else {
          setSelectedCell(null);
        }
      }
 else {
        setSelectedCell(null);
      }
    }
  }
;
  cellHierarchyTree.setDragEnabled(true);
  DropTarget dt=new DropTarget();
  try {
    dt.addDropTargetListener(new CellDropTargetListener());
  }
 catch (  TooManyListenersException ex) {
    Logger.getLogger(CellPropertiesJFrame.class.getName()).log(Level.SEVERE,null,ex);
  }
  cellHierarchyTree.setDropTarget(dt);
  addWindowListener(new WindowAdapter(){
    @Override public void windowClosing(    WindowEvent e){
      if (dirtyPanelSet.isEmpty() == false) {
        int result=JOptionPane.showConfirmDialog(CellPropertiesJFrame.this,""String_Node_Str"",""String_Node_Str"",JOptionPane.YES_NO_OPTION,JOptionPane.QUESTION_MESSAGE);
        if (result == JOptionPane.YES_OPTION) {
          applyValues();
        }
      }
      for (      PropertiesFactorySPI factory : factoryList) {
        factory.close();
      }
    }
  }
);
}","/** 
 * Constructor 
 */
public CellPropertiesJFrame(){
  factoryList=new LinkedList();
  stateUpdates=new StateUpdates();
  initComponents();
  listModel=new DefaultListModel();
  capabilityList.setModel(listModel);
  capabilityList.addListSelectionListener(new CapabilityListSelectionListener());
  basicPropertiesFactory=new BasicJPanel();
  basicPropertiesFactory.setCellPropertiesEditor(this);
  positionPropertiesFactory=new PositionJPanel();
  positionPropertiesFactory.setCellPropertiesEditor(this);
  treeRoot=new DefaultMutableTreeNode(""String_Node_Str"");
  cellNodes=new HashMap();
  ((DefaultTreeModel)cellHierarchyTree.getModel()).setRoot(treeRoot);
  cellHierarchyTree.setCellRenderer(new CellTreeRenderer());
  cellListener=new CellStatusChangeListener(){
    public void cellStatusChanged(    final Cell cell,    final CellStatus status){
      SwingUtilities.invokeLater(new Runnable(){
        public void run(){
          DefaultMutableTreeNode node=cellNodes.get(cell);
          if (status == CellStatus.DISK) {
            if (node != null) {
              logger.warning(""String_Node_Str"" + cell.getName());
              if (selectedCell == cell) {
                dirtyPanelSet.clear();
              }
              TreeModel m=cellHierarchyTree.getModel();
              ((DefaultTreeModel)m).removeNodeFromParent(node);
              cellNodes.remove(cell);
            }
          }
 else           if (status == CellStatus.RENDERING) {
            if (node == null) {
              logger.warning(""String_Node_Str"" + cell.getName());
              createJTreeNode(cell);
            }
          }
        }
      }
);
    }
  }
;
  treeListener=new TreeSelectionListener(){
    public void valueChanged(    TreeSelectionEvent e){
      DefaultMutableTreeNode selectedNode=(DefaultMutableTreeNode)cellHierarchyTree.getLastSelectedPathComponent();
      if (selectedNode != null) {
        Object userObject=selectedNode.getUserObject();
        if (userObject instanceof Cell) {
          setSelectedCell((Cell)userObject);
        }
 else {
          setSelectedCell(null);
        }
      }
 else {
        setSelectedCell(null);
      }
    }
  }
;
  cellHierarchyTree.setDragEnabled(true);
  DropTarget dt=new DropTarget();
  try {
    dt.addDropTargetListener(new CellDropTargetListener());
  }
 catch (  TooManyListenersException ex) {
    Logger.getLogger(CellPropertiesJFrame.class.getName()).log(Level.SEVERE,null,ex);
  }
  cellHierarchyTree.setDropTarget(dt);
  addWindowListener(new WindowAdapter(){
    @Override public void windowClosing(    WindowEvent e){
      if (dirtyPanelSet.isEmpty() == false) {
        int result=JOptionPane.showConfirmDialog(CellPropertiesJFrame.this,""String_Node_Str"",""String_Node_Str"",JOptionPane.YES_NO_OPTION,JOptionPane.QUESTION_MESSAGE);
        if (result == JOptionPane.YES_OPTION) {
          applyValues();
        }
 else {
          restoreValues();
        }
      }
      for (      PropertiesFactorySPI factory : factoryList) {
        factory.close();
      }
    }
  }
);
}"
46005,"private void close(final String failureMessage){
  connected=false;
  if (failureMessage != null) {
    logger.info(""String_Node_Str"" + failureMessage);
  }
  boolean wasOpen=false;
synchronized (this) {
    if (softphoneOutputStream != null) {
      logger.finer(""String_Node_Str"");
      sendCommandToSoftphone(""String_Node_Str"");
    }
    softphoneAddress=null;
    if (softphoneOutputStream != null) {
      try {
        softphoneOutputStream.close();
      }
 catch (      IOException ioe) {
      }
    }
    logger.finer(""String_Node_Str"");
    softphoneOutputStream=null;
    if (stdOutListener != null) {
      stdOutListener.stop();
      stdOutListener=null;
    }
    if (stdErrListener != null) {
      stdErrListener.stop();
      stdErrListener=null;
    }
    if (pinger != null) {
      pinger.interrupt();
      pinger=null;
    }
    softphoneProcess=null;
  }
  notifyListeners(State.EXITED);
}","private void close(final String failureMessage){
  if (closed) {
    return;
  }
  closed=true;
  if (failureMessage != null) {
    logger.info(""String_Node_Str"" + failureMessage);
  }
synchronized (this) {
    if (softphoneOutputStream != null) {
      logger.finer(""String_Node_Str"");
      sendCommandToSoftphone(""String_Node_Str"");
    }
    softphoneAddress=null;
    if (softphoneOutputStream != null) {
      try {
        softphoneOutputStream.close();
      }
 catch (      IOException ioe) {
      }
    }
    logger.finer(""String_Node_Str"");
    softphoneOutputStream=null;
    if (stdOutListener != null) {
      stdOutListener.stop();
      stdOutListener=null;
    }
    if (stdErrListener != null) {
      stdErrListener.stop();
      stdErrListener=null;
    }
    if (pinger != null) {
      pinger.interrupt();
      pinger=null;
    }
    softphoneProcess=null;
  }
  notifyListeners(State.EXITED);
}"
46006,"/** 
 * Set the transform for this cell. Users should not call this method directly, rather MovableComponent should be used, which will keep the client and server in sync.
 * @param localTransform
 */
void setLocalTransform(CellTransform localTransform,TransformChangeListener.ChangeSource source){
  if (this.localTransform != null && this.localTransform.equals(localTransform)) {
    return;
  }
  if (localTransform == null) {
    this.localTransform=null;
    Cell current=getParent();
    while (current != null) {
      CellTransform parentWorldTransform=current.getWorldTransform();
      if (parentWorldTransform != null) {
        setWorldTransform(parentWorldTransform,source);
        current=null;
      }
 else {
        current=current.getParent();
      }
    }
  }
 else {
    this.localTransform=(CellTransform)localTransform.clone(null);
    if (parent != null) {
      worldTransform=(CellTransform)localTransform.clone(null);
      worldTransform=worldTransform.mul(parent.getWorldTransform());
      cachedVWBounds=localBounds.clone(cachedVWBounds);
      worldTransform.transform(cachedVWBounds);
      local2VW=null;
    }
 else     if (parent == null) {
      worldTransform=(CellTransform)localTransform.clone(null);
      local2VW=null;
      cachedVWBounds=localBounds.clone(cachedVWBounds);
      worldTransform.transform(cachedVWBounds);
    }
    notifyTransformChangeListeners(source);
  }
  if (cachedVWBounds == null) {
    logger.warning(""String_Node_Str"" + getName() + ""String_Node_Str""+ localBounds+ ""String_Node_Str""+ localTransform);
    Thread.dumpStack();
  }
  for (  Cell child : getChildren()) {
    transformTreeUpdate(this,child,source);
  }
  for (  CellRenderer rend : cellRenderers.values()) {
    rend.cellTransformUpdate(worldTransform);
  }
}","/** 
 * Set the transform for this cell. Users should not call this method directly, rather MovableComponent should be used, which will keep the client and server in sync.
 * @param localTransform
 */
void setLocalTransform(CellTransform localTransform,TransformChangeListener.ChangeSource source){
  if (this.localTransform != null && this.localTransform.equals(localTransform)) {
    return;
  }
  if (localTransform == null) {
    this.localTransform=null;
    Cell current=getParent();
    while (current != null) {
      CellTransform parentWorldTransform=current.getWorldTransform();
      if (parentWorldTransform != null) {
        setWorldTransform(parentWorldTransform,source);
        current=null;
      }
 else {
        current=current.getParent();
      }
    }
  }
 else {
    this.localTransform=(CellTransform)localTransform.clone(null);
    if (parent != null) {
      worldTransform=(CellTransform)localTransform.clone(null);
      worldTransform=worldTransform.mul(parent.getWorldTransform());
      cachedVWBounds=localBounds.clone(cachedVWBounds);
      worldTransform.transform(cachedVWBounds);
      local2VW=null;
    }
 else     if (parent == null) {
      worldTransform=(CellTransform)localTransform.clone(null);
      local2VW=null;
      cachedVWBounds=localBounds.clone(cachedVWBounds);
      worldTransform.transform(cachedVWBounds);
    }
    notifyTransformChangeListeners(source);
  }
  if (cachedVWBounds == null) {
    logger.warning(""String_Node_Str"" + getName() + ""String_Node_Str""+ localBounds+ ""String_Node_Str""+ localTransform);
    Thread.dumpStack();
  }
  for (  Cell child : getChildren()) {
    transformTreeUpdate(this,child,source);
  }
  for (  CellRenderer rend : cellRenderers.values()) {
    rend.cellTransformUpdate(localTransform);
  }
}"
46007,"/** 
 * The cell has moved, the transform is the cell position in world coordinates
 * @param worldTransfrm the cell world transform
 */
public void cellTransformUpdate(CellTransform worldTransform);","/** 
 * The cell has moved, the transform is the cell position in world coordinates
 * @param localTransfrm the cell local transform
 */
public void cellTransformUpdate(CellTransform localTransform);"
46008,"/** 
 * Callback notifying the renderer that the cell transform has changed.
 * @param worldTransform
 */
public void cellTransformUpdate(CellTransform worldTransform){
  if (moveProcessor != null) {
    moveProcessor.cellMoved(worldTransform);
    return;
  }
  if (cell.getComponent(MovableComponent.class) != null && rootNode != null) {
    moveProcessor=new MoveProcessor(ClientContextJME.getWorldManager(),rootNode);
    getEntity().addComponent(MoveProcessor.class,moveProcessor);
    moveProcessor.cellMoved(worldTransform);
  }
}","/** 
 * Callback notifying the renderer that the cell transform has changed.
 * @param localTransform the new local transform of the cell
 */
public void cellTransformUpdate(CellTransform localTransform){
  if (moveProcessor != null) {
    moveProcessor.cellMoved(localTransform);
    return;
  }
  if (cell.getComponent(MovableComponent.class) != null && rootNode != null) {
    moveProcessor=new MoveProcessor(ClientContextJME.getWorldManager(),rootNode);
    getEntity().addComponent(MoveProcessor.class,moveProcessor);
    moveProcessor.cellMoved(localTransform);
  }
}"
46009,"public void setFocused(HUDComponent component,boolean focused){
  if (component != null) {
    component.changeTransparency(component.getTransparency(),focused ? focusedTransparency : ((component.getPreferredTransparency() != 1.0f) ? component.getPreferredTransparency() : unfocusedTransparency));
  }
}","public void setFocused(HUDComponent component,boolean focused){
  if (component != null) {
    component.changeTransparency(component.getTransparency(),focused ? focusedTransparency : ((component.getPreferredTransparency() != 1.0f) ? component.getPreferredTransparency() : unfocusedTransparency),focused ? fadeInTime : fadeOutTime);
  }
}"
46010,"@Override protected void activate(){
  ContentBrowserManager manager=ContentBrowserManager.getContentBrowserManager();
  defaultBrowser=new ContentBrowserJDialog(getSessionManager());
  manager.setDefaultContentBrowser(defaultBrowser);
  JmeClientMain.getFrame().addToToolsMenu(newBrowserItem,6);
}","@Override protected void activate(){
  SwingUtilities.invokeLater(new Runnable(){
    public void run(){
      ContentBrowserManager manager=ContentBrowserManager.getContentBrowserManager();
      defaultBrowser=new ContentBrowserJDialog(getSessionManager());
      manager.setDefaultContentBrowser(defaultBrowser);
    }
  }
);
  JmeClientMain.getFrame().addToToolsMenu(newBrowserItem,6);
}"
